,text,result
0,terrible car crash,NO disaster
1,earthquake different stay safe,NO disaster
2,forest fire spot goose across cannot save,NO disaster
3,apocalypse wildfire,NO disaster
4,typhoon kill china,NO disaster
5,earthquake,NO disaster
6,probably still show life arsenal,NO disaster
8,nice,NO disaster
10,like,NO disaster
12,tell,NO disaster
15,wholesale market ablaze news fire break wholesale market,disaster
16,wear short race ablaze,NO disaster
17,toke marriage crisis set twitter,NO disaster
18,check,NO disaster
19,splitting follow burner follow ablaze,NO disaster
20,beware world ablaze sierra,NO disaster
21,burning man turban diva via,NO disaster
22,dis people take thing run eye opener set game ablaze,NO disaster
23,rape victim set girl burn injury set,NO disaster
24,setting ablaze,disaster
25,bin front field house wer set ablaze day flame went rite hydro pole wonder,NO disaster
26,ablaze pul radio,NO disaster
27,hope city hall build giant wooden mayoral effigy foot tall set,NO disaster
28,hurt eye ablaze,NO disaster
29,accident cranberry slow back traffic,NO disaster
30,got love burning self damn curling swear someone need take away accident,NO disaster
31,hate accident,NO disaster
32,car recorder car camera vehicle large,NO disaster
33,coincidence still unresolved secret past accident,NO disaster
34,accident near roundabout rather,NO disaster
35,pretend feel certain way feeling become genuine manga anime,NO disaster
36,legal medical referral service call accident dogbite,NO disaster
37,construction guy working store huge gauge ear bloody accident waiting happen,disaster
38,feel like going come,NO disaster
39,northbound junction currently delay min due accident,NO disaster
40,say met accident would super jelly,NO disaster
41,accident hit run cold block se vista police,NO disaster
42,accident like,NO disaster
43,please donate spread training accident left paraplegic,disaster
44,please like share new page indoor trampoline park aftershock opening,NO disaster
45,la pirate bay,NO disaster
46,schoolboy aftershock loud dear,NO disaster
47,dance,NO disaster
48,aftershock last team still way chief collins,NO disaster
49,dance,NO disaster
50,stop saying start saying unknown,NO disaster
51,want go aftershock band listen afford yet,NO disaster
52,still living aftershock people still scar bond,NO disaster
53,dance,NO disaster
54,aftershock,NO disaster
55,victory bargain basement,NO disaster
56,far best competitive map hope,NO disaster
57,brass copper cataclysm,NO disaster
58,happy use variation counter play style,NO disaster
59,aftershock,NO disaster
60,carelessness lead aviation accident victim right seek compensation,NO disaster
61,found guy accident airplane sending love support,NO disaster
62,girl airplane accident fifteen year ago,disaster
63,line know airplane accident near airport,disaster
64,airplane accident government age,disaster
65,horrible accident man wing,disaster
66,god accident happen airplane rest luggage completely please save,NO disaster
67,horrible accident man wing airplane,disaster
68,picture airplane,NO disaster
69,see judge accident,NO disaster
70,airplane mode accident,NO disaster
71,year ago today baseball lost one great airplane rip,disaster
72,expert begin examining airplane debris found reunion air accident expert,disaster
73,expert begin examining airplane debris found reunion air accident,disaster
74,expert begin examining airplane debris found reunion air accident expert,disaster
75,twelve feared air ambulance helicopter crash,disaster
76,dying send ambulance,NO disaster
77,ambulance sprinter automatic vehicle choice compliant,NO disaster
78,ambulance even well like nearly top car laughing,NO disaster
79,shot found dead cuff involved car officer told ambulance treat,NO disaster
80,call fag going call ambulance,NO disaster
81,new device able target destroy blood clot science,NO disaster
82,want send medic supply,NO disaster
83,heroin ambulance,NO disaster
84,twelve feared air ambulance helicopter crash,disaster
85,helicopter ambulance ride transfer hospital mile away cost,NO disaster
86,privileged wear ambulance uniform privileged,NO disaster
87,bartender work drunk man day,NO disaster
88,cop pull drunk driver safety second car hit via,disaster
89,cop pull drunk driver safety second car hit via,disaster
90,think un would move fraction chance,NO disaster
91,drama queen stand drama stage certainly never world would,NO disaster
93,step outside second get,NO disaster
94,well first strike minion,NO disaster
95,nature love burn become,NO disaster
96,shred psych work friendship would,NO disaster
97,example conservative burton liberal stood done nothing,NO disaster
98,crack regiment,NO disaster
99,everything,NO disaster
100,got,NO disaster
101,probably,NO disaster
102,longe mountain red hour,NO disaster
103,please sign save,NO disaster
104,allied plan annihilation german people,NO disaster
105,please share sign petition save wild horse,NO disaster
106,national park service national stop annihilation salt river wild via change,NO disaster
107,soul,NO disaster
108,update salt river wild horse via change,NO disaster
109,national park service national stop annihilation salt river wild via change,NO disaster
110,national park service national stop annihilation salt river wild via change,NO disaster
111,silent planet print annihilation,NO disaster
112,sign urgent stop annihilation salt river wild,NO disaster
113,get iced,NO disaster
114,national park service national stop annihilation salt river wild via change,NO disaster
115,national park service national stop annihilation salt river wild via change,NO disaster
116,like every defeat like annihilation,NO disaster
117,national park service national stop annihilation salt river wild via change,NO disaster
118,national park service national stop annihilation salt river wild via change,NO disaster
119,stop annihilation salt river wild via change,NO disaster
120,national park service national stop annihilation salt river wild via change,NO disaster
121,national park service national stop annihilation salt river wild via change,NO disaster
122,national park service national stop annihilation salt river wild via change,NO disaster
123,national park service national stop annihilation salt river wild via change,NO disaster
124,spherulitic almost feel like si sign,NO disaster
125,video futuristic house survive,NO disaster
126,video night lucky block apocalypse wither showcase,NO disaster
127,one major reason live ever come cue,NO disaster
128,zombie item right either screwed,NO disaster
129,apocalypse,NO disaster
130,excited apocalypse really dig franchise going like theme,NO disaster
131,sound like terrible right,NO disaster
132,apocalypse artist go exclusion zone ura,NO disaster
133,southern apocalypse apocalyptic doomsday book reading,NO disaster
134,honestly could say apocalypse coming would he enthusiastic everything,NO disaster
135,also nephew proof fat baby going save apocalypse,NO disaster
136,video zombie rescue,NO disaster
137,added video futuristic house survive map,NO disaster
138,prince encounter meerkat,NO disaster
139,video night lucky block apocalypse wither showcase,NO disaster
140,zombie apocalypse among,NO disaster
141,video night lucky block apocalypse wither showcase,NO disaster
142,universal order,NO disaster
143,patent pending stream,NO disaster
145,might rise ash true,NO disaster
146,turkey halfway,NO disaster
147,remember crowd around baggage like bag last food item earth,NO disaster
148,never even face,NO disaster
149,issue major warning late escape,disaster
150,da one spear,NO disaster
151,build army lion leader dog fight lion die like,NO disaster
152,one direction pick fan army,NO disaster
153,shark army black date stainless steel quartz men sport watch full read,NO disaster
154,pick fan army,NO disaster
155,second summer pick fan army,NO disaster
156,pick fan army,NO disaster
157,swiss army date rubber mop watch,NO disaster
158,hope salvation army least gave tax,NO disaster
159,one direction pick fan army,NO disaster
160,one direction pick fan army,NO disaster
161,one direction pick fan army,NO disaster
162,check data upper reservoir,NO disaster
163,came sixteenth year go forth head army,NO disaster
164,one direction pick fan army,NO disaster
165,second summer pick fan army,NO disaster
166,report arson charge county house fire,NO disaster
167,arson suspect linked fire caught northern,disaster
168,police unable solve case duma arson attack,NO disaster
169,shock setting wildfire across,NO disaster
170,time like arson push past felony,NO disaster
171,mourning notice stabbing arson victim stir poster,disaster
172,mourning notice stabbing arson victim stir poster,disaster
173,probation two year pay fine,NO disaster
174,police sketch arson,NO disaster
175,fire winery arson,NO disaster
176,trial date set man arson,NO disaster
177,man connection arson man court accused,NO disaster
178,police arrest possible arson investigation,NO disaster
179,rip arson,NO disaster
180,arson suspect linked fire caught northern,disaster
181,owner gay bar arson scheme,NO disaster
182,news owner gay bar arson frank via,NO disaster
183,mourning notice stabbing arson victim stir poster,disaster
184,contra costa authority arrest suspected serial authority believe,NO disaster
185,owner gay bar arson frank guilty arsonist,NO disaster
186,man,NO disaster
187,mo way say,NO disaster
188,arsonist set vegetarian restaurant police,NO disaster
189,arsonist torch house getaway vehicle police say surrey leader,disaster
190,already threw away letter tho,NO disaster
191,hotel arsonist damage arsonist court,NO disaster
192,suspected serial arsonist east bay arrest,disaster
193,arsonist walk gospel,NO disaster
194,bitch dont get,NO disaster
195,new vine,NO disaster
196,suspected serial arsonist,disaster
197,surveillance video capture man removing flag long beach home,disaster
198,serial arsonist get bail jail release,disaster
199,arson suspect linked fire caught northern,disaster
200,government provide free treatment acid attack victim private hospital,disaster
201,going panic attack,NO disaster
202,end innovation reduce attack surface,NO disaster
203,yesterday heat attack funny relationship,NO disaster
204,gratuitously cruel attack dying,NO disaster
205,cooper super hero dog saved heart attack knew,NO disaster
206,double ebony attack,NO disaster
207,suspect latest attack psychological issue,disaster
208,people tilly confused cat horrible attack win heart,NO disaster
209,love love love massive attack angel,NO disaster
210,many article attack labour defend see,NO disaster
211,attack freedom information liberty,NO disaster
212,weird near panic attack write bathroom work nearly dreadfully miss,NO disaster
213,black attack white married slut,NO disaster
214,cop injured militant attack police suspected militant police post,disaster
215,schoolgirl park led former friend,NO disaster
216,need career best along smith even try sura virus team brutally,NO disaster
217,temple mount waving flag via,disaster
218,temple mount waving flag via,disaster
219,man police family,NO disaster
220,temple mount waving flag via,disaster
221,temple mount waving flag via,disaster
222,total free,NO disaster
223,result constantly,NO disaster
224,forgot memo getting resident concussion funny,NO disaster
225,temple mount waving flag via,disaster
226,fire nation,NO disaster
227,temple mount waving flag via,disaster
228,police simply thank protecting via,NO disaster
229,peaceful happy twitter experience,NO disaster
230,car tube installation avalanche sound output,NO disaster
231,true throw head avalanche,NO disaster
232,glance avalanche one look heartbeat oh walk moon get said,NO disaster
233,repost avalanche charging,NO disaster
234,dad told would never let get avalanche,NO disaster
235,imagine plenty talk math teacher similar age music,NO disaster
236,vintage collectable avalanche spray,NO disaster
237,plus performance chip fuel saver chevy,NO disaster
238,sen looking consistency avalanche,NO disaster
239,avalanche need anyone carry,NO disaster
240,musician classic album cover clever music video,NO disaster
241,frozen fury king avalanche grand,NO disaster
242,maid agency present musician classic album cover clever music video,NO disaster
243,avalanche rear axle assembly,NO disaster
244,senator another year determine,NO disaster
245,avast avalanche,NO disaster
246,colorado avalanche duck ticket preseason,NO disaster
247,listen avalanche take deep breath,NO disaster
248,men lunatic,NO disaster
249,environment lone pine tree growing across country remembrance battle year,NO disaster
251,raspy cool already figured battle,NO disaster
252,video omega ruby alpha sapphire battle,NO disaster
253,long battle spur took care knockout,NO disaster
254,video knuckle punch death,NO disaster
255,around grow via,NO disaster
256,longer transport germ wake anthrax lab mishap,disaster
257,longer transport germ wake anthrax lab mishap via,disaster
258,longer transport germ wake anthrax lab mishap via,disaster
259,consequence went pathogen,NO disaster
260,longer transport germ wake anthrax lab,disaster
261,latest safety longer transport anthrax select agent research specimen,NO disaster
262,longer transport germ wake anthrax lab mishap,disaster
263,stop shipping potential longer deliver package,disaster
264,citizen education project year watchdog dugway proving,NO disaster
265,longer transport germ wake anthrax lab mishap,disaster
266,longer transport germ via,NO disaster
267,offbeat news stopped shipping pathogen,NO disaster
268,longer transport germ wake anthrax lab mishap news,disaster
270,attack soil involved,NO disaster
271,time hedge catastrophic risk climate change asteroid impact,NO disaster
272,take make look id still,disaster
273,guideline medical public health management,disaster
274,drone reach large,NO disaster
275,way mean,NO disaster
276,forget threat,NO disaster
277,discus rogan question pathogen virus,NO disaster
278,discus rogan question,NO disaster
279,take make look id still,disaster
280,seen front line fight,NO disaster
281,living assault thing low risk,NO disaster
282,anthrax,NO disaster
283,take make look id still,disaster
